subscription_event_id,company_id,event_type,plan_name,previous_plan_name,payment_date,subscription_start_date,sub_end_date,trial_end_date,billing_period,seat_count,monthly_recurring_revenue,invoice_amount,currency,payment_status,created_at
se_000060,co_0008,trial_start,Medium,,,,,2026-03-13,annual,175,0,0,GBP,not_applicable,2026-03-06T11:51:00
se_000061,co_0009,trial_start,Medium,,,,,2025-01-16,annual,135,0,0,GBP,not_applicable,2025-01-09T08:28:00
se_000062,co_0009,converted,Medium,,2025-01-13,2025-01-13,,,annual,135,750,9000,GBP,paid,2025-01-13T17:34:00
se_000063,co_0009,renewal,Medium,,2026-01-13,2026-01-13,,,annual,135,750,9000,GBP,paid,2026-01-13T17:23:00
se_000064,co_0010,trial_start,Medium,,,,,2025-01-28,monthly,207,0,0,GBP,not_applicable,2025-01-21T14:07:00
se_000065,co_0010,converted,Medium,,2025-01-29,2025-01-29,,,monthly,207,750,750,GBP,paid,2025-01-29T09:40:00
se_000066,co_0010,renewal,Medium,,2025-02-28,2025-02-28,,,monthly,207,750,750,GBP,paid,2025-02-28T18:47:00
se_000067,co_0010,renewal,Medium,,2025-03-28,2025-03-28,,,monthly,207,750,750,GBP,paid,2025-03-28T14:38:00
se_000068,co_0010,renewal,Medium,,2025-04-28,2025-04-28,,,monthly,207,750,750,GBP,paid,2025-04-28T19:24:00
se_000069,co_0010,renewal,Medium,,2025-05-28,2025-05-28,,,monthly,207,750,750,GBP,paid,2025-05-28T15:41:00
se_000070,co_0010,renewal,Medium,,2025-06-28,2025-06-28,,,monthly,207,750,750,GBP,paid,2025-06-28T08:07:00
se_000071,co_0010,renewal,Medium,,2025-07-28,2025-07-28,,,monthly,207,750,750,GBP,paid,2025-07-28T10:18:00
se_000072,co_0010,renewal,Medium,,2025-08-28,2025-08-28,,,monthly,207,750,750,GBP,paid,2025-08-28T12:07:00
se_000073,co_0010,renewal,Medium,,2025-09-28,2025-09-28,,,monthly,207,750,750,GBP,paid,2025-09-28T15:47:00
se_000074,co_0010,renewal,Medium,,2025-10-28,2025-10-28,,,monthly,207,750,750,GBP,paid,2025-10-28T13:06:00
se_000075,co_0010,renewal,Medium,,2025-11-28,2025-11-28,,,monthly,207,750,750,GBP,paid,2025-11-28T18:36:00
se_000076,co_0010,renewal,Medium,,2025-12-28,2025-12-28,,,monthly,207,750,750,GBP,paid,2025-12-28T12:34:00
se_000077,co_0010,renewal,Medium,,2026-01-28,2026-01-28,,,monthly,207,750,750,GBP,paid,2026-01-28T17:01:00
se_000078,co_0010,renewal,Medium,,2026-02-28,2026-02-28,,,monthly,207,750,750,GBP,paid,2026-02-28T15:20:00
se_000079,co_0010,renewal,Medium,,2026-03-28,2026-03-28,,,monthly,207,750,750,GBP,paid,2026-03-28T11:16:00
se_000080,co_0010,renewal,Medium,,2026-04-28,2026-04-28,,,monthly,207,750,750,GBP,paid,2026-04-28T17:21:00
se_000081,co_0010,renewal,Medium,,2026-05-28,2026-05-28,,,monthly,207,750,750,GBP,paid,2026-05-28T15:47:00
se_000082,co_0010,renewal,Medium,,2026-06-28,2026-06-28,,,monthly,207,750,750,GBP,paid,2026-06-28T10:39:00
se_000083,co_0011,trial_start,Small,,,,,2026-05-20,annual,18,0,0,GBP,not_applicable,2026-05-13T08:44:00
se_000084,co_0011,converted,Small,,2026-05-23,2026-05-23,,,annual,18,200,2400,GBP,paid,2026-05-23T11:33:00
se_000085,co_0012,trial_start,Small,,,,,2025-07-01,monthly,50,0,0,GBP,not_applicable,2025-06-24T13:31:00
se_000086,co_0012,converted,Small,,2025-07-02,2025-07-02,,,monthly,50,200,200,GBP,paid,2025-07-02T16:23:00
se_000087,co_0012,renewal,Small,,2025-08-02,2025-08-02,,,monthly,50,200,200,GBP,paid,2025-08-02T08:26:00
se_000088,co_0012,renewal,Small,,2025-09-23,2025-09-02,,,monthly,50,200,200,GBP,paid,2025-09-02T19:17:00
se_000089,co_0012,renewal,Small,,2025-10-02,2025-10-02,,,monthly,50,200,200,GBP,paid,2025-10-02T09:43:00
se_000090,co_0012,renewal,Small,,2025-11-02,2025-11-02,,,monthly,50,200,200,GBP,paid,2025-11-02T13:20:00
se_000091,co_0012,renewal,Small,,2025-12-02,2025-12-02,,,monthly,50,200,200,GBP,paid,2025-12-02T11:44:00
se_000092,co_0012,renewal,Small,,2026-01-02,2026-01-02,,,monthly,50,200,200,GBP,paid,2026-01-02T08:05:00
se_000093,co_0012,renewal,Small,,2026-02-02,2026-02-02,,,monthly,50,200,200,GBP,paid,2026-02-02T17:27:00
se_000094,co_0012,renewal,Small,,2026-03-02,2026-03-02,,,monthly,50,200,200,GBP,paid,2026-03-02T16:50:00
se_000095,co_0012,renewal,Small,,2026-04-02,2026-04-02,,,monthly,50,200,200,GBP,paid,2026-04-02T11:32:00
se_000096,co_0012,renewal,Small,,2026-05-02,2026-05-02,,,monthly,50,200,200,GBP,paid,2026-05-02T15:26:00
se_000097,co_0012,renewal,Small,,2026-06-02,2026-06-02,,,monthly,50,200,200,GBP,paid,2026-06-02T19:16:00
se_000098,co_0013,trial_start,Large,,,,,2024-07-09,annual,911,0,0,GBP,not_applicable,2024-07-02T10:27:00
se_000099,co_0014,trial_start,Medium,,,,,2024-05-29,annual,148,0,0,GBP,not_applicable,2024-05-22T19:52:00
se_000100,co_0014,converted,Medium,,2024-05-25,2024-05-25,,,annual,148,750,9000,GBP,paid,2024-05-25T18:56:00
se_000101,co_0014,payment_failed,Medium,,2025-05-25,2025-05-25,,,annual,148,750,750,GBP,failed,2025-05-25T16:11:00
se_000102,co_0014,payment_recovered,Medium,,2025-05-27,2025-05-27,,,annual,148,750,9000,GBP,paid,2025-05-27T19:41:00
se_000103,co_0014,renewal,Medium,,2026-05-25,2026-05-25,,,annual,148,750,9000,GBP,paid,2026-05-25T19:07:00
se_000104,co_0015,trial_start,Small,,,,,2024-08-15,monthly,107,0,0,GBP,not_applicable,2024-08-08T14:42:00
se_000105,co_0015,converted,Small,,2024-08-10,2024-08-10,,,monthly,107,200,200,GBP,paid,2024-08-10T11:43:00
se_000106,co_0015,renewal,Small,,2024-09-10,2024-09-10,,,monthly,107,200,200,GBP,paid,2024-09-10T12:46:00
se_000107,co_0015,renewal,Small,,2024-10-10,2024-10-10,,,monthly,107,200,200,GBP,paid,2024-10-10T11:52:00
se_000108,co_0015,renewal,Small,,2024-11-10,2024-11-10,,,monthly,107,200,200,GBP,paid,2024-11-10T15:39:00
se_000109,co_0015,renewal,Small,,2024-12-10,2024-12-10,,,monthly,107,200,200,GBP,paid,2024-12-10T12:36:00
se_000110,co_0015,renewal,Small,,2025-01-10,2025-01-10,,,monthly,107,200,200,GBP,paid,2025-01-10T15:10:00
se_000111,co_0015,renewal,Small,,2025-02-10,2025-02-10,,,monthly,107,200,200,GBP,paid,2025-02-10T08:46:00
se_000112,co_0015,renewal,Small,,2025-03-10,2025-03-10,,,monthly,107,200,200,GBP,paid,2025-03-10T15:28:00
se_000113,co_0015,renewal,Small,,2025-04-10,2025-04-10,,,monthly,107,200,200,GBP,paid,2025-04-10T14:59:00
se_000114,co_0015,renewal,Small,,2025-05-10,2025-05-10,,,monthly,107,200,200,GBP,paid,2025-05-10T08:29:00
se_000115,co_0015,renewal,Small ,,2025-06-10,2025-06-10,,,monthly,107,200,200,GBP,paid,2025-06-10T19:55:00
se_000116,co_0015,renewal,Small,,2025-07-10,2025-07-10,,,monthly,107,200,200,GBP,paid,2025-07-10T16:09:00
se_000117,co_0015,renewal,Small,,2025-08-10,2025-08-10,,,monthly,107,200,200,GBP,paid,2025-08-10T16:08:00
se_000118,co_0015,renewal,Small,,2025-09-10,2025-09-10,,,monthly,107,200,200,GBP,paid,2025-09-10T12:05:00
se_000119,co_0015,renewal,Small,,2025-10-10,2025-10-10,,,monthly,107,200,200,GBP,paid,2025-10-10T19:34:00
se_000120,co_0015,renewal,Small,,2025-11-10,2025-11-10,,,monthly,107,200,200,GBP,paid,2025-11-10T09:19:00
se_000121,co_0015,renewal,Small,,2025-12-10,2025-12-10,,,monthly,107,200,200,GBP,paid,2025-12-10T12:33:00
se_000122,co_0015,renewal,Small,,2026-01-10,2026-01-10,,,monthly,107,200,200,GBP,paid,2026-01-10T10:17:00
se_000123,co_0015,renewal,Small,,2026-02-10,2026-02-10,,,monthly,107,200,200,GBP,paid,2026-02-10T10:07:00
se_000124,co_0015,renewal,Small,,2026-03-10,2026-03-10,,,monthly,107,200,200,GBP,paid,2026-03-10T14:36:00
se_000125,co_0015,renewal,Small,,2026-04-10,2026-04-10,,,monthly,107,200,200,GBP,paid,2026-04-10T14:03:00
se_000126,co_0015,renewal,Small,,2026-05-10,2026-05-10,,,monthly,107,200,200,GBP,paid,2026-05-10T16:36:00
se_000127,co_0015,renewal,Small,,2026-06-10,2026-06-10,,,monthly,107,200,200,GBP,paid,2026-06-10T15:55:00
se_000128,co_0016,trial_start,Medium,,,,,2025-09-30,annual,245,0,0,GBP,not_applicable,2025-09-23T14:18:00
se_000129,co_0016,converted,Medium,,2025-09-28,2025-09-28,,,annual,245,750,9000,GBP,paid,2025-09-28T15:22:00
se_000130,co_0017,trial_start,Medium,,,,,2023-11-24,monthly,181,0,0,GBP,not_applicable,2023-11-17T11:17:00
se_000131,co_0018,trial_start,Medium,,,,,2024-03-28,monthly,272,0,0,GBP,not_applicable,2024-03-21T09:39:00
se_000132,co_0018,converted,Medium,,2024-03-24,2024-03-24,,,monthly,272,750,750,GBP,paid,2024-03-24T15:11:00
se_000133,co_0018,renewal,Medium,,2024-04-24,2024-04-24,,,monthly,272,750,750,GBP,paid,2024-04-24T09:19:00
se_000134,co_0018,renewal,Medium,,2024-05-24,2024-05-24,,,monthly,272,750,750,GBP,paid,2024-05-24T18:24:00
se_000135,co_0018,renewal,Medium,,2024-06-24,2024-06-24,,,monthly,272,750,750,GBP,paid,2024-06-24T13:15:00
se_000136,co_0018,renewal,Medium,,2024-07-24,2024-07-24,,,monthly,272,750,750,GBP,paid,2024-07-24T08:06:00
se_000137,co_0018,renewal,Medium,,2024-08-24,2024-08-24,,,monthly,272,750,750,GBP,paid,2024-08-24T09:28:00
se_000138,co_0018,payment_failed,Medium,,2024-09-24,2024-09-24,,,monthly,272,750,750,GBP,failed,2024-09-24T16:29:00
se_000139,co_0018,renewal,Medium,,2024-10-24,2024-10-24,,,monthly,272,750,750,GBP,paid,2024-10-24T17:38:00
se_000140,co_0018,renewal,Medium,,2024-11-24,2024-11-24,,,monthly,272,750,750,GBP,paid,2024-11-24T08:41:00
se_000141,co_0018,renewal,Medium,,2024-12-24,2024-12-24,,,monthly,272,750,750,GBP,paid,2024-12-24T13:14:00
se_000142,co_0018,renewal,Medium,,2025-01-24,2025-01-24,,,monthly,272,750,750,GBP,paid,2025-01-24T09:26:00
se_000143,co_0018,renewal,Medium,,2025-02-24,2025-02-24,,,monthly,272,750,750,GBP,paid,2025-02-24T17:14:00
se_000144,co_0018,renewal,Medium,,,2025-03-24,,,monthly,272,750,750,GBP,paid,2025-03-24T17:23:00
se_000145,co_0018,renewal,Medium,,2025-05-14,2025-04-24,,,monthly,272,750,750,GBP,paid,2025-04-24T18:38:00
se_000146,co_0018,renewal,Medium,,2025-05-24,2025-05-24,,,monthly,272,750,750,GBP,paid,2025-05-24T10:36:00
se_000147,co_0018,renewal,Medium,,2025-06-24,2025-06-24,,,monthly,272,750,750,GBP,paid,2025-06-24T14:59:00
se_000148,co_0018,renewal,Medium,,2025-07-24,2025-07-24,,,monthly,272,750,750,GBP,paid,2025-07-24T19:13:00
se_000149,co_0018,renewal,Medium,,2025-08-24,2025-08-24,,,monthly,272,750,750,GBP,paid,2025-08-24T15:19:00
se_000150,co_0018,renewal,Medium,,2025-09-24,2025-09-24,,,monthly,272,750,750,GBP,paid,2025-09-24T19:15:00
se_000151,co_0018,renewal,Medium,,2025-10-24,2025-10-24,,,monthly,272,750,750,GBP,paid,2025-10-24T13:47:00
se_000152,co_0018,renewal,Medium,,2025-11-24,2025-11-24,,,monthly,272,750,750,GBP,paid,2025-11-24T16:45:00
se_000153,co_0018,renewal,Medium,,2025-12-24,2025-12-24,,,monthly,272,750,750,GBP,paid,2025-12-24T13:10:00
se_000154,co_0018,renewal,Medium,,2026-01-24,2026-01-24,,,monthly,272,750,750,GBP,paid,2026-01-24T14:24:00
se_000155,co_0018,renewal,Medium,,2026-02-24,2026-02-24,,,monthly,272,750,750,GBP,paid,2026-02-24T18:36:00
se_000156,co_0018,renewal,Medium,,2026-03-24,2026-03-24,,,monthly,272,750,750,GBP,paid,2026-03-24T08:58:00
se_000157,co_0018,renewal,Medium,,2026-04-24,2026-04-24,,,monthly,272,750,750,GBP,paid,2026-04-24T10:39:00
se_000158,co_0018,renewal,Medium,,2026-05-24,2026-05-24,,,monthly,272,750,750,GBP,paid,2026-05-24T19:28:00
se_000159,co_0018,renewal,Medium,,2026-06-24,2026-06-24,,,monthly,272,750,750,GBP,paid,2026-06-24T15:36:00
se_000160,co_0019,trial_start,Medium,,,,,2025-01-24,monthly,224,0,0,GBP,not_applicable,2025-01-17T17:10:00
se_000161,co_0020,trial_start,Medium,,,,,2023-09-27,monthly,232,0,0,GBP,not_applicable,2023-09-20T14:24:00
se_000162,co_0021,trial_start,Medium,,,,,2025-07-18,monthly,269,0,0,GBP,not_applicable,2025-07-11T08:07:00
se_000163,co_0021,converted,Medium,,2025-07-13,2025-07-13,,,monthly,269,750,750,GBP,paid,2025-07-13T09:36:00
se_000164,co_0021,renewal,Medium,,2025-08-13,2025-08-13,,,monthly,269,750,750,GBP,paid,2025-08-13T12:25:00
se_000165,co_0021,renewal,Medium,,2025-09-13,2025-09-13,,,monthly,269,750,750,GBP,paid,2025-09-13T19:57:00
se_000166,co_0021,renewal,Medium,,2025-10-13,2025-10-13,,,monthly,269,750,750,GBP,paid,2025-10-13T19:26:00
se_000167,co_0021,renewal,Medium,,2025-11-13,2025-11-13,,,monthly,269,750,750,GBP,paid,2025-11-13T17:10:00
se_000168,co_0021,payment_failed,Medium,,2025-12-13,2025-12-13,,,monthly,269,750,750,GBP,failed,2025-12-13T10:25:00
se_000169,co_0021,payment_recovered,Medium,,2025-12-25,2025-12-25,,,monthly,269,750,750,GBP,paid,2025-12-25T15:05:00
se_000170,co_0021,cancellation_scheduled,Medium,,,2025-11-16,,,monthly,269,750,750,GBP,not_applicable,2025-11-16T13:07:00
se_000171,co_0021,voluntary_churn,Medium,,,2025-12-30,2025-12-30,,monthly,269,750,0,GBP,not_applicable,2025-12-30T15:59:00
se_000172,co_0022,trial_start,Small,,,,,2024-11-01,monthly,69,0,0,GBP,not_applicable,2024-10-25T14:45:00
se_000173,co_0022,converted,Small,,2024-10-30,2024-10-30,,,monthly,69,200,200,GBP,paid,2024-10-30T19:43:00
se_000174,co_0022,renewal,Small,,2024-11-30,2024-11-30,,,monthly,69,200,200,GBP,paid,2024-11-30T18:07:00
se_000175,co_0022,renewal,Small,,2024-12-30,2024-12-30,,,monthly,69,200,200,GBP,paid,2024-12-30T19:51:00
se_000176,co_0022,renewal,Small,,2025-02-06,2025-01-30,,,monthly,69,200,200,GBP,paid,2025-01-30T15:01:00
se_000177,co_0022,renewal,Small,,2025-03-11,2025-02-28,,,monthly,69,200,200,GBP,paid,2025-02-28T18:07:00
se_000178,co_0022,renewal,Small,,2025-03-28,2025-03-28,,,monthly,69,200,200,GBP,paid,2025-03-28T19:40:00
se_000179,co_0022,renewal,Small,,2025-04-28,2025-04-28,,,monthly,69,200,200,GBP,paid,2025-04-28T12:38:00
se_000180,co_0022,renewal,Small,,2025-05-28,2025-05-28,,,monthly,69,200,200,GBP,paid,2025-05-28T17:40:00
se_000181,co_0022,renewal,Small,,2025-06-28,2025-06-28,,,monthly,69,200,200,GBP,paid,2025-06-28T09:00:00
se_000182,co_0022,renewal,Small,,2025-07-28,2025-07-28,,,monthly,69,200,200,GBP,paid,2025-07-28T12:13:00
se_000183,co_0022,renewal,Small,,2025-08-28,2025-08-28,,,monthly,69,200,200,GBP,paid,2025-08-28T10:02:00
se_000184,co_0022,renewal,Small,,2025-09-28,2025-09-28,,,monthly,69,200,200,GBP,paid,2025-09-28T12:48:00
se_000185,co_0022,renewal,Small,,2025-10-28,2025-10-28,,,monthly,69,200,200,GBP,paid,2025-10-28T11:41:00
se_000186,co_0022,renewal,Small,,2025-11-28,2025-11-28,,,monthly,69,200,200,GBP,paid,2025-11-28T17:17:00
se_000187,co_0022,renewal,Small,,2025-12-28,2025-12-28,,,monthly,69,200,200,GBP,paid,2025-12-28T08:05:00
se_000188,co_0022,renewal,Small,,2026-01-28,2026-01-28,,,monthly,69,200,200,GBP,paid,2026-01-28T18:41:00
se_000189,co_0022,renewal,Small,,2026-02-28,2026-02-28,,,monthly,69,200,200,GBP,paid,2026-02-28T10:35:00
se_000190,co_0022,renewal,Small,,,2026-03-28,,,monthly,69,200,200,GBP,paid,2026-03-28T09:50:00
se_000191,co_0022,renewal,Small,,2026-04-28,2026-04-28,,,monthly,69,200,200,GBP,paid,2026-04-28T16:53:00
se_000192,co_0022,renewal,Small,,2026-05-28,2026-05-28,,,monthly,69,200,200,GBP,paid,2026-05-28T13:55:00
se_000193,co_0022,renewal,Small,,2026-06-28,2026-06-28,,,monthly,69,200,200,GBP,paid,2026-06-28T10:56:00
se_000194,co_0023,trial_start,Medium,,,,,2025-12-08,annual,243,0,0,GBP,not_applicable,2025-12-01T17:15:00
se_000195,co_0023,converted,Medium,,2025-12-06,2025-12-06,,,annual,243,750,9000,GBP,paid,2025-12-06T08:27:00
se_000196,co_0024,trial_start,Medium,,,,,2024-05-15,monthly,155,0,0,GBP,not_applicable,2024-05-08T15:42:00
se_000197,co_0025,trial_start,Medium,,,,,2025-08-26,annual,232,0,0,GBP,not_applicable,2025-08-19T13:12:00
se_000198,co_0026,trial_start,Small,,,,,2025-11-12,monthly,48,0,0,GBP,not_applicable,2025-11-05T09:58:00
se_000199,co_0026,converted,Small,,2025-11-13,2025-11-13,,,monthly,48,200,200,GBP,paid,2025-11-13T13:34:00
se_000200,co_0026,renewal,Small,,2025-12-13,2025-12-13,,,monthly,48,200,200,GBP,paid,2025-12-13T13:22:00
se_000201,co_0026,renewal,Small,,2026-01-13,2026-01-13,,,monthly,48,200,200,GBP,paid,2026-01-13T08:24:00
se_000202,co_0026,renewal,Small,,2026-02-25,2026-02-13,,,monthly,48,200,200,GBP,paid,2026-02-13T09:06:00
se_000203,co_0026,renewal,Small,,2026-03-13,2026-03-13,,,monthly,48,200,200,GBP,paid,2026-03-13T19:49:00
se_000204,co_0026,renewal,Small,,2026-04-24,2026-04-13,,,monthly,48,200,200,GBP,paid,2026-04-13T16:54:00
se_000205,co_0026,renewal,Small,,2026-05-13,2026-05-13,,,monthly,48,200,200,GBP,paid,2026-05-13T18:12:00
se_000206,co_0026,renewal,Small,,2026-06-20,2026-06-13,,,monthly,48,200,200,GBP,paid,2026-06-13T11:31:00
se_000207,co_0027,trial_start,Medium,,,,,2025-03-09,monthly,207,0,0,GBP,not_applicable,2025-03-02T09:30:00
se_000208,co_0027,converted,Medium,,2025-03-10,2025-03-10,,,monthly,207,750,750,GBP,paid,2025-03-10T16:52:00
se_000209,co_0027,renewal,Medium,,2025-04-10,2025-04-10,,,monthly,207,750,750,GBP,paid,2025-04-10T17:37:00
se_000210,co_0027,payment_failed,Medium,,2025-05-10,2025-05-10,,,monthly,207,750,750,GBP,failed,2025-05-10T10:23:00
se_000211,co_0027,payment_recovered,Medium,,2025-05-13,2025-05-13,,,monthly,207,750,750,GBP,paid,2025-05-13T17:15:00
se_000212,co_0027,renewal,Medium,,2025-06-10,2025-06-10,,,monthly,207,750,750,GBP,paid,2025-06-10T13:01:00
se_000213,co_0027,renewal,Medium,,2025-07-10,2025-07-10,,,monthly,207,750,750,GBP,paid,2025-07-10T16:34:00
se_000214,co_0027,renewal,Medium,,2025-08-10,2025-08-10,,,monthly,207,750,750,GBP,paid,2025-08-10T19:54:00
se_000215,co_0027,renewal,Medium,,2025-09-10,2025-09-10,,,monthly,207,750,750,GBP,paid,2025-09-10T11:25:00
