company_id,company_name,industry,region,trial_start_date,subscription_status,current_plan_name,current_seat_count,organisation_size_band,sales_channel,customer_success_owner,created_at,updated_at
co_0027,Cardiff Further Education College South,Further Education,London,2025-03-02,active,Medium ,207,101-500,direct_sales,Imogen Davies,2025-03-01T12:43:00,2025-08-08T17:19:00
co_0028,Stamford Training,Training Provider,East Midlands,2025-05-15,trial,Medium,150,101-500,public_sector_framework,,2025-05-07T08:12:00,2026-05-12T09:52:00
co_0029,Lakeside Learning Group,Private Education,Wales,2026-04-15,active,Small,84,51-100,inbound,Daniel Hughes,2026-04-08T15:21:00,2026-05-18T09:59:00
co_0030,Edinburgh Further Education College,Further Education,West Midlands,2024-12-28,active,Large,526,501-1000,self_serve,Amelia Clarke,2024-12-30T09:13:00,2026-05-14T16:54:00
co_0031,Fairfield Skills Centre,Training Provider,South West,2023-11-29,trial,MEDIUM,178,101-500,self_serve,Farah Malik,2023-12-01T13:15:00,2025-11-12T12:00:00
co_0032,Cambridge Further Education College,Further Education,Ireland,2024-01-18,trial,Medium,205,101-500,self_serve,Amelia Clarke,2024-01-14T10:59:00,2025-08-01T08:58:00
co_0033,Maple Education Services,Training Provider,South East,2026-03-14,active,Small,85,51-100,partner,Amelia Clarke,2026-03-09T17:43:00,2026-06-20T11:50:00
co_0034,Tudor Learning Group,Training Provider,London,2024-06-25,active,Small,45,1-50,direct_sales,Jacob Turner,2024-06-24T16:14:00,2025-11-20T14:33:00
co_0035,Birmingham Further Education College,Further Education,Scotland,2025-10-08,active,Bespoke,1078,1001+,direct_sales,Ben Whitmore,2025-10-03T15:45:00,2026-06-10T17:00:00
co_0036,Parkside Learning Trust,School,South East,2024-04-13,active,Medium,167,101-500,self_serve,George Bennett,2024-04-13T11:23:00,2025-10-27T15:45:00
co_0037,Tudor Learning Trust,School,Yorkshire and the Humber,2024-08-06,trial,Small,23,1-50,public_sector_framework,Charlotte Evans,2024-07-29T18:00:00,2025-07-05T17:29:00
co_0038,Riverside Academy,School,North West,2023-10-27,active,Medium,142,101-500,inbound,George Bennett,2023-10-20T11:15:00,2026-04-04T17:03:00
co_0039,Maple Training,Training Provider,South West,2024-04-16,active,Small,34,1-50,direct_sales,Charlotte Evans,2024-04-10T08:53:00,2026-03-25T17:29:00
co_0040,Greenwich Education Partnership,Other,London,2024-04-25,active,SMALL,43,1-50,direct_sales,George Bennett,2024-04-24T14:28:00,2026-05-21T09:50:00
co_0041,Hillcrest Learning Trust,School,London,2025-12-02,active,Medium,248,101-500,direct_sales,Imogen Davies,2025-12-04T14:56:00,2026-04-19T10:24:00
co_0042,Exeter Libraries,Library,East of England,2024-01-12,active,Medium,202,101-500,direct_sales,Ella Thompson,2024-01-11T13:04:00,2025-09-23T13:23:00
co_0043,Bristol Training,Private Education,Yorkshire and the Humber,2025-09-20,paused,Medium,162,101-500,self_serve,,2025-09-22T09:13:00,2025-10-17T12:29:00
co_0044,Harbour Learning Trust,School,South West,2023-10-27,delinquent_churn,Medium,121,101-500,direct_sales,Hannah Roberts,2023-10-27T17:08:00,2025-08-05T10:29:00
co_0045,Lakeside Education Partnership,Other,Northern Ireland,2025-03-01,voluntary_churn,Small,82,51-100,public_sector_framework,Daniel Hughes,2025-02-23T18:49:00,2026-03-17T08:37:00
co_0046,Cedar Skills Centre,Private Education,East of England,2023-10-17,paused,Small,35,1-50,direct_sales,Jacob Turner,2023-10-17T14:57:00,2025-06-20T14:53:00
co_0047,Bridgewater Training,Training Provider,Wales,2025-10-25,trial,Medium,300,101-500,self_serve,Amelia Clarke,2025-10-24T08:07:00,2025-12-30T15:45:00
co_0048,Parkside College,School,North West,2025-05-27,trial,Medium,325,101-500,inbound,Amelia Clarke,2025-05-18T12:24:00,2026-02-17T09:55:00
co_0049,Leeds Institute,University,South East,2025-11-07,active,Large,584,501-1000,self_serve,Charlotte Evans,2025-11-01T11:54:00,2026-03-21T14:48:00
co_0050,Willow Academy,School,South West,2026-03-19,active,Medium,124,101-500,inbound,,2026-03-15T10:36:00,2026-05-26T17:13:00
co_0051,Harbour College,School,West Midlands,2024-01-31,active,Medium,102,101-500,inbound,,2024-01-27T14:26:00,2025-09-04T08:23:00
co_0052,Ashford Grammar School,School,North East,2026-05-30,active,Small,74,51-100,inbound,Imogen Davies,2026-05-30T11:00:00,2026-06-17T16:40:00
co_0053,Reading Further Education College,Further Education,Scotland,2024-08-01,trial,Medium,379,101-500,direct_sales,Hannah Roberts,2024-08-03T08:24:00,2025-06-16T16:45:00
co_0054,Tudor Learning Group Trust,Private Education,South East,2023-12-19,active,Medium,308,101-500,partner,Imogen Davies,2023-12-11T15:47:00,2025-09-07T11:06:00
co_0055,Queensway Grammar School,School,London,2025-02-04,active,Medium,189,101-500,direct_sales,Imogen Davies,2025-02-03T18:52:00,2025-09-12T17:18:00
co_0056,Cotswold Training North,Private Education,South East,2023-08-28,trial,Small,31,1-50,direct_sales,Imogen Davies,2023-08-23T12:04:00,2026-01-25T15:24:00
co_0057,Oaklands Skills Centre,Private Education,East of England,2024-12-28,trial,Small,29,1-50,self_serve,Charlotte Evans,2024-12-18T16:49:00,2025-07-16T09:02:00
co_0058,Riverside Grammar School,School,London,2025-08-31,trial,Medium,286,101-500,self_serve,Daniel Hughes,2025-09-02T15:25:00,2025-09-29T13:26:00
co_0059,Greenwich College,School,East of England,2023-10-21,active,Medium,107,101-500,inbound,Daniel Hughes,2023-10-18T08:14:00,2025-06-11T12:06:00
co_0060,Tudor Education Services,Training Provider,East Midlands,2023-11-29,active,Medium,344,101-500,self_serve,,2023-11-27T17:38:00,2026-04-26T11:53:00
co_0061,Rowan Education Services,Private Education,West Midlands,2024-03-16,active,Small,89,51-100,direct_sales,Hannah Roberts,2024-03-16T09:51:00,2025-06-01T15:17:00
co_0062,Oaklands Learning Group,Training Provider,Yorkshire and the Humber,2024-09-13,active,Small,60,51-100,direct_sales,Ben Whitmore,2024-09-03T13:47:00,2025-11-11T16:26:00
co_0063,Swansea Libraries,Library,Yorkshire and the Humber,2023-08-31,active,Bespoke,1228,1001+,self_serve,George Bennett,2023-08-28T16:56:00,2025-09-22T18:37:00
co_0064,Fairfield Academy,School,Scotland,2024-02-12,active,Medium,113,101-500,partner,Ella Thompson,2024-02-05T11:59:00,2026-02-26T10:22:00
co_0065,Bristol Learning Group,Private Education,South East,2024-04-15,active,Small,58,51-100,partner,Amelia Clarke,2024-04-17T15:51:00,2026-06-28T11:55:00
co_0066,Eastgate Learning Group,Private Education,West Midlands,2025-04-06,trial,Medium,108,101-500,direct_sales,Farah Malik,2025-04-05T13:17:00,2026-04-22T14:42:00
co_0067,Cedar Skills Centre South,Private Education,South East,2023-08-08,trial,SMALL,56,51-100,partner,Ben Whitmore,2023-07-30T12:04:00,2025-05-25T08:21:00
co_0068,Parkside Education Partnership,Other,London,2024-11-16,active,Medium,156,101-500,direct_sales,Ben Whitmore,2024-11-15T18:01:00,2026-02-17T08:00:00
co_0069,Bristol Learning Trust,School,South West,2026-04-07,active,Medium,181,101-500,direct_sales,Ella Thompson,2026-03-28T14:53:00,2026-05-22T08:19:00
co_0070,Camden Academy,School,Yorkshire and the Humber,2024-12-29,trial,Small,84,51-100,inbound,Jacob Turner,2024-12-25T15:52:00,2025-10-25T12:23:00
co_0071,Norwich Higher Education Centre,University,London,2024-04-12,trial,Medium,432,101-500,partner,Daniel Hughes,2024-04-11T10:51:00,2025-08-29T14:17:00
co_0072,Ashford Learning Group,Private Education,South West,2024-05-25,trial,Small,21,1-50,self_serve,Daniel Hughes,2024-05-25T17:21:00,2026-02-13T10:40:00
co_0073,Leeds Libraries,Library,North West,2026-03-23,active,Medium,115,101-500,partner,Jacob Turner,2026-03-15T18:36:00,2026-06-29T08:51:00
co_0074,Bristol Skills Centre,Private Education,South West,2024-10-02,active,Small,21,1-50,direct_sales,Charlotte Evans,2024-10-03T17:12:00,2025-12-02T09:30:00
co_0075,Maple School,School,West Midlands,2025-12-26,active,Medium,120,101-500,partner,Ben Whitmore,2025-12-19T13:22:00,2026-02-26T09:37:00
co_0076,Hadley School,School,North West,2024-02-27,trial,Small,61,51-100,inbound,Ben Whitmore,2024-02-26T18:26:00,2025-09-26T09:26:00
co_0077,Bristol Training South,Private Education,North East,2024-05-16,trial,Medium,138,101-500,inbound,Ben Whitmore,2024-05-11T08:59:00,2025-07-19T11:11:00
co_0078,Hillcrest Education Services,Training Provider,East of England,2025-01-19,active,Medium,183,101-500,direct_sales,Daniel Hughes,2025-01-18T16:40:00,2025-07-05T09:53:00
co_0079,Cambridge Further Education College Trust,Further Education,Yorkshire and the Humber,2026-04-05,active,Small,100,51-100,direct_sales,Ella Thompson,2026-04-04T13:02:00,2026-04-24T08:27:00
co_0080,Belfast Further Education College,Further Education,West Midlands,2026-02-02,trial,Medium,274,101-500,partner,Ella Thompson,2026-01-31T15:08:00,2026-03-05T17:36:00
co_0081,Reading Library Service,Library,South East,2025-02-11,active,Medium,301,101-500,partner,Amelia Clarke,2025-02-10T13:14:00,2025-10-15T12:42:00
co_0082,Victoria Skills Centre,Private Education,South East,2024-04-17,active,Small,92,51-100,public_sector_framework,George Bennett,2024-04-10T14:11:00,2025-07-25T09:43:00
co_0083,Kingfisher Skills Centre,Private Education,West Midlands,2026-01-07,trial,Small,42,1-50,public_sector_framework,Ella Thompson,2026-01-02T09:31:00,2026-03-19T11:17:00
co_0084,Eastgate School,School,Yorkshire and the Humber,2023-08-01,active,Small,59,51-100,direct_sales,Hannah Roberts,2023-07-29T12:33:00,2026-05-17T10:53:00
co_0085,Elmfield College,School,South West,2026-05-27,active,Small,73,51-100,direct_sales,Daniel Hughes,2026-05-29T14:29:00,2026-06-26T09:06:00
co_0086,Hillcrest Learning Trust Trust,School,Wales,2025-07-02,active,Small,99,51-100,direct_sales,Charlotte Evans,2025-06-29T10:08:00,2025-10-04T16:55:00
co_0087,Oaklands Academy,School,East Midlands,2025-06-08,active,Medium,162,101-500,direct_sales,George Bennett,2025-05-29T18:49:00,2026-05-10T13:52:00
co_0088,Bridgewater Academy,School,South East,2025-10-05,active,Medium,271,101-500,direct_sales,George Bennett,2025-09-29T10:53:00,2026-05-16T10:10:00
co_0089,Camden Training,Private Education,Wales,2025-01-19,trial,Small,18,1-50,self_serve,Daniel Hughes,2025-01-13T14:01:00,2026-06-20T12:54:00
co_0090,Maple Learning Trust,School,East of England,2024-09-22,trial,Small,31,1-50,direct_sales,Amelia Clarke,2024-09-12T09:12:00,2026-06-12T17:28:00
co_0091,Hadley Training,Training Provider,Wales,2024-03-03,active,MEDIUM,363,101-500,public_sector_framework,Jacob Turner,2024-02-24T10:52:00,2025-12-17T18:40:00
co_0092,Ashford Learning Group South,Private Education,London,2026-05-05,trial,Small,58,51-100,self_serve,Hannah Roberts,2026-04-29T17:31:00,2026-05-20T14:33:00
co_0093,Bridgewater Education Services,Private Education,North East,2026-02-14,active,Small,84,51-100,self_serve,Hannah Roberts,2026-02-16T09:16:00,2026-04-09T17:38:00
co_0094,Belfast Library Service South,Library,North East,2025-12-02,trial,Small,18,1-50,partner,Daniel Hughes,2025-11-27T12:54:00,2026-05-19T18:21:00
co_0095,Riverside Learning Group,Training Provider,North West,2025-03-21,trial,SMALL,33,1-50,partner,Imogen Davies,2025-03-18T12:08:00,2025-10-29T09:23:00
co_0096,Rowan School,School,South West,2024-03-10,active,Medium,136,101-500,public_sector_framework,Hannah Roberts,2024-03-02T13:39:00,2025-08-29T09:29:00
co_0097,Northbridge School,School,South East,2024-06-05,trial,Small,64,51-100,self_serve,Charlotte Evans,2024-05-30T16:05:00,2025-06-21T15:32:00
co_0098,Stamford Training Trust,Private Education,South West,2025-05-23,active,Small,89,51-100,direct_sales,Farah Malik,2025-05-17T17:05:00,2025-08-19T09:18:00
co_0099,Manchester Further Education College,Further Education,South East,2023-07-16,active,Medium,425,101-500,self_serve,Jacob Turner,2023-07-08T18:52:00,2026-01-03T18:29:00
co_0100,Victoria Learning Group,Training Provider,East of England,2025-01-15,active,Medium,430,101-500,inbound,Daniel Hughes,2025-01-07T14:27:00,2025-09-17T17:23:00
co_0101,Northbridge School Trust,School,Northern Ireland,2026-02-23,active,Medium,162,101-500,partner,George Bennett,2026-02-15T09:16:00,2026-06-17T10:12:00
co_0102,Lakeside Skills Centre,Private Education,South East,2023-11-21,active,Medium,167,101-500,partner,Daniel Hughes,2023-11-21T13:06:00,2025-08-15T17:40:00
co_0103,Meadowbrook School,School,South West,2024-09-27,active,Medium,166,101-500,self_serve,George Bennett,2024-09-29T12:43:00,2025-09-26T18:01:00
co_0104,Meadowbrook Grammar School,School,South East,2025-03-05,trial,Small,67,51-100,public_sector_framework,Charlotte Evans,2025-02-27T18:22:00,2025-09-27T13:43:00
co_0105,Hillcrest School,School,West Midlands,2026-05-18,active,Small,91,51-100,direct_sales,Jacob Turner,2026-05-09T13:53:00,2026-06-02T17:01:00
co_0106,Queensway Education Partnership,Other,West Midlands,2023-11-04,active,Medium,321,101-500,direct_sales,George Bennett,2023-10-31T13:00:00,2025-07-05T14:04:00
co_0107,Exeter Higher Education Centre,University,Wales,2024-05-23,trial,Medium,145,101-500,self_serve,Hannah Roberts,2024-05-22T16:49:00,2026-04-16T09:32:00
co_0108,Belfast Further Education College South,Further Education,East of England,2026-01-20,active,Medium,142,101-500,direct_sales,Hannah Roberts,2026-01-13T16:17:00,2026-05-03T15:47:00
co_0109,Stamford Academy,School,Wales,2024-06-01,trial,Small,69,51-100,direct_sales,George Bennett,2024-06-02T08:30:00,2025-06-16T18:13:00
co_0110,Norwich Further Education College,Further Education,East of England,2025-02-06,trial,Medium,137,101-500,self_serve,Farah Malik,2025-02-02T12:33:00,2026-04-18T10:01:00
co_0111,Meadowbrook Grammar School Trust,School,South East,2023-11-17,active,Small,25,1-50,direct_sales,George Bennett,2023-11-17T13:46:00,2025-10-11T12:36:00
co_0112,Manchester Institute,University,London,2025-07-20,active,Medium,219,101-500,direct_sales,Jacob Turner,2025-07-17T08:06:00,2025-09-22T14:02:00
co_0113,Camden School,School,West Midlands,2025-01-10,active,Small,77,51-100,inbound,Hannah Roberts,2025-01-12T09:32:00,2026-06-29T18:27:00
co_0114,Dundee Knowledge Hub,Library,West Midlands,2024-04-14,active,Medium,129,101-500,direct_sales,Ella Thompson,2024-04-13T14:47:00,2025-08-17T16:38:00
co_0115,Cambridge Institute,University,South East,2025-03-31,active,Medium,142,101-500,public_sector_framework,Jacob Turner,2025-03-30T15:51:00,2025-10-20T11:16:00
co_0116,Summit Grammar School Central,School,London,2025-02-12,trial,Medium,185,101-500,inbound,Imogen Davies,2025-02-02T15:20:00,2025-10-05T14:37:00
co_0117,Rowan Education Services Central,Training Provider,East Midlands,2025-05-26,past_due,Medium,111,101-500,inbound,Amelia Clarke,2025-05-27T09:25:00,2026-04-08T11:26:00
co_0118,Fairfield Learning Group,Private Education,South East,2024-01-04,active,Small,19,1-50,inbound,Hannah Roberts,2024-01-04T10:42:00,2025-09-15T15:06:00
co_0119,Dales Academy,School,Scotland,2025-05-01,trial,Medium,445,101-500,self_serve,Farah Malik,2025-04-22T18:11:00,2025-10-02T14:26:00
co_0120,Beechwood Training,Private Education,South West,2024-01-17,trial,Small,63,51-100,partner,Amelia Clarke,2024-01-09T13:28:00,2025-12-16T10:00:00
co_0121,Reading University,University,North West,2024-10-08,active,Bespoke,1081,1001+,public_sector_framework,Ben Whitmore,2024-10-09T18:26:00,2026-04-12T15:56:00
co_0122,Reading Libraries,Library,Northern Ireland,2024-12-10,active,Small,18,1-50,direct_sales,Farah Malik,2024-12-03T11:10:00,2026-03-04T16:03:00
co_0123,Eastgate Education Services,Private Education,London,2024-12-24,active,Medium,179,101-500,direct_sales,Amelia Clarke,2024-12-20T15:32:00,2025-12-29T10:24:00
co_0124,Dales Academy Trust,School,Scotland,2024-09-02,active,Medium,103,101-500,direct_sales,Hannah Roberts,2024-08-25T16:38:00,2026-04-05T10:44:00
co_0125,Cardiff Knowledge Hub,Library,Scotland,2024-10-19,voluntary_churn,Medium,128,101-500,inbound,Farah Malik,2024-10-15T08:56:00,2026-01-06T14:00:00
co_0126,Belfast Library Service South Trust,Library,East Midlands,2024-08-29,trial,Small,33,1-50,partner,Jacob Turner,2024-08-25T17:34:00,2026-01-13T09:23:00
co_0127,Hastings Libraries,Library,North West,2023-07-30,past_due,Medium,141,101-500,direct_sales,Hannah Roberts,2023-07-26T14:00:00,2025-08-07T10:36:00
co_0128,Lancaster Community Library South,Library,London,2024-04-10,active,Medium,161,101-500,direct_sales,Amelia Clarke,2024-04-09T11:45:00,2026-02-15T18:33:00
co_0129,Westfield Education Services,Private Education,West Midlands,2024-06-02,trial,Medium,151,101-500,direct_sales,Hannah Roberts,2024-05-30T09:57:00,2025-09-25T15:52:00
co_0130,Lakeside Academy,School,London,2024-09-11,active,Small,99,51-100,direct_sales,Daniel Hughes,2024-09-05T15:09:00,2026-05-20T12:06:00
co_0131,Hastings Further Education College,Further education,East Midlands,2024-08-08,active,Medium,109,101-500,direct_sales,Charlotte Evans,2024-08-01T12:52:00,2025-08-14T12:50:00
co_0132,Camden Learning Group,Private Education,East Midlands,2025-02-05,active,Small,52,51-100,direct_sales,Daniel Hughes,2025-01-26T14:30:00,2025-08-22T14:45:00
co_0133,Birmingham Libraries,Library,South West,2023-08-10,active,Large,504,501-1000,self_serve,Farah Malik,2023-07-31T10:42:00,2025-11-30T13:35:00
co_0134,Cotswold Skills Centre,Training Provider,Northern Ireland,2023-11-15,trial,Small,19,1-50,partner,Jacob Turner,2023-11-10T18:12:00,2026-05-27T14:23:00
co_0135,Belfast Knowledge Hub,Library,Yorkshire and the Humber,2023-07-15,active,Medium,467,101-500,inbound,Ella Thompson,2023-07-06T10:56:00,2025-12-20T16:14:00
co_0136,Riverside Learning Group Trust,Training Provider,South West,2026-01-30,trial,Medium,172,101-500,direct_sales,Daniel Hughes,2026-01-23T16:28:00,2026-03-17T12:21:00
co_0137,Cedar Learning Group,Training Provider,Northern Ireland,2026-03-30,trial,Medium,114,101-500,direct_sales,Ben Whitmore,2026-03-22T18:42:00,2026-06-26T16:41:00
co_0138,Eastgate Education Services North,Private Education,East of England,2025-04-16,trial,Small,39,1-50,self_serve,Hannah Roberts,2025-04-10T08:18:00,2025-12-28T09:50:00
co_0139,Harbour School,School,South East,2024-10-26,active,Small,72,51-100,direct_sales,Amelia Clarke,2024-10-20T13:56:00,2026-01-09T10:50:00
co_0140,Victoria Grammar School,School,Ireland,2025-03-30,active,Medium,219,101-500,self_serve,,2025-03-25T12:08:00,2025-10-31T16:07:00
co_0141,Hillcrest School North,School,East of England,2025-12-21,trial,Small,63,51-100,inbound,Charlotte Evans,2025-12-11T14:11:00,2026-06-12T09:57:00
co_0142,Birmingham Library Service,Library,Yorkshire and the Humber,2023-12-31,active,Medium,117,101-500,inbound,Ella Thompson,2023-12-29T12:27:00,2025-10-01T12:48:00
co_0143,Dales Learning Trust,School,London,2024-10-15,active,Medium,166,101-500,direct_sales,Jacob Turner,2024-10-12T15:12:00,2025-08-30T08:31:00
co_0144,Cedar Education Services,Private Education,Scotland,2023-07-21,active,Small,31,1-50,direct_sales,,2023-07-11T18:28:00,2025-11-29T13:10:00
co_0145,Reading Further Education College Trust,Further Education,West Midlands,2024-01-26,trial,Medium,114,101-500,direct_sales,Ella Thompson,2024-01-16T16:50:00,2025-07-02T11:30:00
co_0146,Oxford Library Service,Library,Yorkshire and the Humber,2025-11-03,active,Medium,131,101-500,direct_sales,Ella Thompson,2025-10-24T09:08:00,2026-02-15T15:22:00
co_0147,Manchester Further Education College North,Further Education,South West,2026-03-04,active,Medium,137,101-500,self_serve,Ella Thompson,2026-02-23T13:31:00,2026-03-06T18:11:00
co_0148,Riverside College,School,Ireland,2024-05-07,trial,Medium,114,101-500,self_serve,Ella Thompson,2024-05-04T09:50:00,2026-02-21T12:48:00
co_0149,Hastings Institute,University,South West,2025-05-05,trial,Small,86,51-100,partner,Ben Whitmore,2025-05-07T08:24:00,2025-05-25T11:50:00
co_0150,Cedar Grammar School,School,Scotland,2025-12-27,active,Medium,407,101-500,direct_sales,Ella Thompson,2025-12-17T16:32:00,2026-03-30T15:40:00
co_0151,Dundee University,University,North West,2026-01-29,trial,Medium,118,101-500,partner,George Bennett,2026-01-26T14:44:00,2026-02-20T12:57:00
co_0152,Reading Further Education College South,Further Education,East of England,2025-07-23,active,Medium,136,101-500,inbound,,2025-07-18T15:20:00,2026-01-27T17:10:00
co_0153,Norwich Further Education College Trust,Further Education,London,2025-06-28,trial,Medium,485,101-500,self_serve,Jacob Turner,2025-06-29T10:51:00,2025-12-27T12:58:00
co_0154,Dales Learning Group,Private Education,East of England,2025-10-02,active,Small,22,1-50,self_serve,Imogen Davies,2025-10-03T09:43:00,2026-01-06T17:20:00
co_0155,Swansea Further Education College,Further Education,East Midlands,2026-03-11,trial,Medium,188,101-500,public_sector_framework,Amelia Clarke,2026-03-09T18:16:00,2026-06-07T09:51:00
co_0156,Hadley Education Services,Training Provider,East of England,2023-07-21,trial,Large,739,501-1000,inbound,Jacob Turner,2023-07-19T08:04:00,2026-06-27T15:32:00
co_0157,Cotswold Learning Group,Private Education,North West,2024-08-30,trial,Small,64,51-100,inbound,George Bennett,2024-08-25T17:31:00,2026-04-21T17:41:00
co_0158,Westfield School,SCHOOL,North West,2025-01-25,trial,Medium,114,101-500,self_serve,,2025-01-26T16:50:00,2025-12-27T16:07:00
co_0159,Norwich Institute,University,London,2024-12-28,paused,Medium,482,101-500,inbound,Ella Thompson,2024-12-28T13:31:00,2025-12-13T18:58:00
co_0160,Swansea Library Service,Library,North East,2024-05-02,trial,Medium,164,101-500,inbound,,2024-04-30T17:58:00,2025-08-26T17:25:00
co_0161,Belfast University,University,London,2024-03-16,voluntary_churn,Large,574,501-1000,inbound,Hannah Roberts,2024-03-12T17:26:00,2025-07-31T13:52:00
co_0162,Riverside Grammar School North,School,South West,2025-07-18,active,Medium,211,101-500,partner,Farah Malik,2025-07-09T16:39:00,2026-01-30T14:09:00
co_0163,Fairfield Learning Trust,School,Northern Ireland,2025-04-12,trial,Medium,101,101-500,inbound,Amelia Clarke,2025-04-04T18:02:00,2025-09-11T10:11:00
co_0164,Stamford Grammar School,School,East of England,2025-03-29,active,Small,96,51-100,self_serve,Ella Thompson,2025-03-28T10:56:00,2026-01-26T11:00:00
co_0165,Meadowbrook Skills Centre,Private Education,North West,2023-10-14,trial,Large,558,501-1000,self_serve,Ben Whitmore,2023-10-08T09:28:00,2026-06-05T15:19:00
co_0166,Victoria Education Partnership,Other,South East,2026-03-08,active,Small,29,1-50,partner,Amelia Clarke,2026-03-06T15:31:00,2026-06-17T14:17:00
co_0167,Hastings University,University,Yorkshire and the Humber,2025-08-06,trial,Medium,325,101-500,self_serve,,2025-08-08T12:17:00,2025-12-23T08:03:00
co_0168,Lakeside Academy Trust,School,North West,2023-09-11,active,Small,66,51-100,partner,Amelia Clarke,2023-09-03T14:46:00,2026-01-18T11:45:00
co_0169,Victoria Learning Group North,Private Education,East of England,2024-09-25,active,Medium,123,101-500,self_serve,Ben Whitmore,2024-09-24T16:37:00,2025-08-06T17:17:00
co_0170,Maple Education Partnership,Other,East of England,2024-04-06,active,Small,28,1-50,inbound,Imogen Davies,2024-03-31T09:28:00,2025-08-30T14:42:00
co_0171,Lakeside Learning Trust,School,East of England,2024-01-28,trial,Small,49,1-50,self_serve,Farah Malik,2024-01-29T18:55:00,2026-01-21T16:28:00
